
Topic 0:  residue:0.007  land:0.006  biofuel:0.019  energy:0.006  mirror:0.020  secondgeneration:0.006  cell:0.006  production:0.007  receiver:0.008  tower:0.006 
Topic 1:  water:0.006  temperature:0.006  reaction:0.006  process:0.005  bioreactor:0.005  material:0.008  gas:0.007  pipe:0.007  pressure:0.006  algal:0.008 
Topic 2:  steel:0.020  sheet:0.010  show:0.011  describe:0.012  robot:0.025  mechanism:0.012  system:0.010  gsense:0.013  human:0.011  fig:0.014 
Topic 3:  assembly:0.009  vehicle:0.035  system:0.019  device:0.006  video:0.007  fig:0.011  mirror:0.011  interior:0.007  include:0.006  display:0.011 
Topic 4:  embodiment:0.006  power:0.017  antenna:0.010  system:0.013  fig:0.008  vehicle:0.018  array:0.006  data:0.006  card:0.018  network:0.006 
Topic 5:  shortterm:0.007  electric:0.007  car:0.005  forecast:0.006  rate:0.005  result:0.007  year:0.008  model:0.017  quarter:0.008  data:0.007 
Topic 6:  return:0.012  taxpayer:0.009  form:0.034  schedule:0.015  taxe:0.011  worksheet:0.010  tax:0.069  deduction:0.011  credit:0.030  income:0.028 
Topic 7:  water:0.017  surfacefunctionalized:0.007  popularmechanicscom:0.007  hydroxy:0.011  energy:0.008  air:0.010  cell:0.018  highvoltage:0.007  fuel:0.016  hho:0.008 
Topic 8:  embodiment:0.009  configured:0.012  system:0.030  portion:0.008  device:0.023  based:0.008  include:0.019  data:0.009  method:0.032  subject:0.009 
Topic 9:  climate:0.015  fund:0.006  investor:0.007  global:0.005  tim:0.007  market:0.011  maverick:0.007  archive:0.007  change:0.009  stock:0.007 
Topic 10:  water:0.007  electric:0.008  power:0.010  energy:0.007  gas:0.009  cell:0.038  station:0.010  vehicle:0.023  fuel:0.060  hydrogen:0.065 
Topic 11:  schedule:0.007  electricity:0.011  energy:0.056  storage:0.012  system:0.012  cost:0.008  operating:0.008  asset:0.018  technology:0.008  market:0.012 
Topic 12:  engine:0.024  cylinder:0.019  power:0.007  energy:0.008  amorphous:0.010  stroke:0.008  alloy:0.007  piston:0.030  spark:0.013  port:0.007 
Topic 13:  apple:0.006  battery:0.032  energy:0.007  cell:0.013  glass:0.015  grid:0.010  fuel:0.007  reply:0.006  hydrogen:0.008  composition:0.007 
Topic 14:  control:0.011  combustion:0.007  temperature:0.007  power:0.009  storage:0.007  energy:0.009  flow:0.008  system:0.025  air:0.019  heat:0.009 
Topic 15:  fibre:0.011  singlewall:0.009  end:0.008  metal:0.009  tube:0.012  material:0.011  nanotube:0.037  invention:0.007  carbon:0.041  molecule:0.009 
